series_id,plotting_probability,theoretical_quantile,mixture_quantile,empirical_quantile
logistic_observable,0.002008032128514056,0.0020100509280241976,0.0020100509280242228,0.25
logistic_observable,0.006024096385542169,0.006042314455962623,0.006042314455962586,0.25
logistic_observable,0.010040160642570281,0.010090902981962817,0.010090902981962831,0.25
logistic_observable,0.014056224899598393,0.014155949230132345,0.014155949230132298,0.25
logistic_observable,0.018072289156626505,0.018237587549780897,0.0182375875497809,0.25
logistic_observable,0.02208835341365462,0.022335953942063135,0.022335953942063187,0.25
logistic_observable,0.02610441767068273,0.026451186087169724,0.026451186087169717,0.25
logistic_observable,0.030120481927710843,0.030583423372080237,0.030583423372080278,0.25
logistic_observable,0.03413654618473896,0.034732806918891745,0.034732806918891725,0.25
logistic_observable,0.03815261044176707,0.03889947961373769,0.03889947961373772,0.25
logistic_observable,0.04216867469879518,0.043083586136311705,0.04308358613631168,0.25
logistic_observable,0.04618473895582329,0.047285272990011715,0.047285272990011736,0.25
logistic_observable,0.050200803212851405,0.05150468853271995,0.05150468853271991,0.25
logistic_observable,0.05421686746987952,0.05574198300823518,0.055741983008235185,0.25
logistic_observable,0.05823293172690763,0.059997308578373564,0.05999730857837362,0.30000000000000004
logistic_observable,0.06224899598393574,0.06427081935575561,0.06427081935575561,0.30000000000000004
logistic_observable,0.06626506024096386,0.06856267143729662,0.06856267143729666,0.30000000000000004
logistic_observable,0.07028112449799197,0.07287302293841885,0.07287302293841884,0.30000000000000004
logistic_observable,0.07429718875502007,0.07720203402800441,0.07720203402800445,0.30000000000000004
logistic_observable,0.0783132530120482,0.08154986696410776,0.08154986696410774,0.30000000000000004
logistic_observable,0.0823293172690763,0.08591668613044823,0.08591668613044826,0.30000000000000004
logistic_observable,0.08634538152610442,0.09030265807370251,0.09030265807370247,0.30000000000000004
logistic_observable,0.09036144578313253,0.0947079515416189,0.09470795154161891,0.30000000000000004
logistic_observable,0.09437751004016064,0.09913273752197456,0.09913273752197452,0.30000000000000004
logistic_observable,0.09839357429718876,0.10357718928239863,0.10357718928239863,0.30000000000000004
logistic_observable,0.10240963855421686,0.10804148241108408,0.10804148241108402,0.30000000000000004
logistic_observable,0.10642570281124498,0.11252579485841271,0.1125257948584127,0.30000000000000004
logistic_observable,0.11044176706827309,0.11703030697951729,0.11703030697951733,0.30000000000000004
logistic_observable,0.1144578313253012,0.12155520157780693,0.12155520157780692,0.30000000000000004
logistic_observable,0.11847389558232932,0.12610066394948158,0.1261006639494816,0.30000000000000004
logistic_observable,0.12248995983935743,0.13066688192906276,0.13066688192906273,0.30000000000000004
logistic_observable,0.12650602409638553,0.13525404593596882,0.13525404593596885,0.30000000000000004
logistic_observable,0.13052208835341367,0.1398623490221631,0.13986234902216316,0.30000000000000004
logistic_observable,0.13453815261044177,0.14449198692090515,0.14449198692090515,0.30000000000000004
logistic_observable,0.13855421686746988,0.14914315809663595,0.1491431580966359,0.30000000000000004
logistic_observable,0.142570281124498,0.15381606379602836,0.15381606379602836,0.35000000000000003
logistic_observable,0.1465863453815261,0.1585109081002361,0.15851090810023616,0.35000000000000003
logistic_observable,0.15060240963855423,0.16322789797837498,0.16322789797837495,0.35000000000000003
logistic_observable,0.15461847389558234,0.16796724334227153,0.16796724334227156,0.35000000000000003
logistic_observable,0.15863453815261044,0.17272915710251519,0.17272915710251516,0.35000000000000003
logistic_observable,0.16265060240963855,0.17751385522585147,0.1775138552258515,0.35000000000000003
logistic_observable,0.16666666666666666,0.18232155679395462,0.1823215567939546,0.35000000000000003
logistic_observable,0.1706827309236948,0.18715248406362017,0.18715248406362017,0.35000000000000003
logistic_observable,0.1746987951807229,0.1920068625284183,0.19200686252841825,0.35000000000000003
logistic_observable,0.178714859437751,0.19688492098185117,0.19688492098185117,0.35000000000000003
logistic_observable,0.1827309236947791,0.20178689158205795,0.201786891582058,0.35000000000000003
logistic_observable,0.18674698795180722,0.20671300991811378,0.20671300991811378,0.4
logistic_observable,0.19076305220883535,0.21166351507796996,0.21166351507797,0.4
logistic_observable,0.19477911646586346,0.21663864971808375,0.21663864971808372,0.4
logistic_observable,0.19879518072289157,0.22163866013478947,0.2216386601347895,0.4
logistic_observable,0.20281124497991967,0.2266637963374625,0.22666379633746248,0.4
logistic_observable,0.20682730923694778,0.23171431212353105,0.23171431212353108,0.4
logistic_observable,0.21084337349397592,0.2367904651553917,0.23679046515539162,0.4
logistic_observable,0.21485943775100402,0.24189251703928716,0.24189251703928716,0.4
logistic_observable,0.21887550200803213,0.24702073340620662,0.2470207334062067,0.4
logistic_observable,0.22289156626506024,0.2521753839948711,0.2521753839948711,0.4
logistic_observable,0.22690763052208834,0.25735674273686865,0.2573567427368686,0.4
logistic_observable,0.23092369477911648,0.26256508784400695,0.2625650878440069,0.4
logistic_observable,0.23493975903614459,0.26780070189795196,0.267800701897952,0.4
logistic_observable,0.2389558232931727,0.2730638719422266,0.27306387194222653,0.45
logistic_observable,0.2429718875502008,0.2783548895766421,0.2783548895766422,0.45
logistic_observable,0.2469879518072289,0.2836740510542421,0.28367405105424204,0.45
logistic_observable,0.25100401606425704,0.2890216573808374,0.2890216573808374,0.45
logistic_observable,0.25502008032128515,0.2943980144172178,0.29439801441721786,0.45
logistic_observable,0.25903614457831325,0.29980343298412576,0.29980343298412576,0.45
logistic_observable,0.26305220883534136,0.3052382289700826,0.30523822897008257,0.45
logistic_observable,0.26706827309236947,0.31070272344216143,0.31070272344216143,0.45
logistic_observable,0.2710843373493976,0.31619724275980216,0.3161972427598022,0.45
logistic_observable,0.2751004016064257,0.321722118691772,0.321722118691772,0.45
logistic_observable,0.2791164658634538,0.327277688536374,0.32727768853637396,0.45
logistic_observable,0.28313253012048195,0.3328642952450139,0.3328642952450138,0.45
logistic_observable,0.28714859437751006,0.33848228754923715,0.33848228754923715,0.45
logistic_observable,0.29116465863453816,0.3441320200913562,0.34413202009135624,0.45
logistic_observable,0.29518072289156627,0.34981385355878714,0.34981385355878714,0.45
logistic_observable,0.2991967871485944,0.3555281548222257,0.35552815482222566,0.45
logistic_observable,0.3032128514056225,0.3612752970777937,0.3612752970777937,0.5
logistic_observable,0.3072289156626506,0.3670556599932932,0.36705565999329326,0.5
logistic_observable,0.3112449799196787,0.37286962985871297,0.37286962985871297,0.5
logistic_observable,0.3152610441767068,0.37871759974113606,0.378717599741136,0.5
logistic_observable,0.3192771084337349,0.3845999696442026,0.3845999696442026,0.5
logistic_observable,0.3232931726907631,0.39051714667229126,0.39051714667229126,0.5
logistic_observable,0.3273092369477912,0.39646954519958655,0.3964695451995866,0.5
logistic_observable,0.3313253012048193,0.40245758704420914,0.40245758704420914,0.5
logistic_observable,0.3353413654618474,0.40848170164759007,0.40848170164758996,0.5
logistic_observable,0.3393574297188755,0.41454232625928106,0.41454232625928106,0.5
logistic_observable,0.3433734939759036,0.4206399061273995,0.4206399061273996,0.5
logistic_observable,0.3473895582329317,0.4267748946949154,0.4267748946949154,0.5
logistic_observable,0.3514056224899598,0.4329477538019964,0.4329477538019963,0.55
logistic_observable,0.35542168674698793,0.43915895389463705,0.43915895389463705,0.55
logistic_observable,0.35943775100401604,0.4454089742398083,0.4454089742398084,0.55
logistic_observable,0.3634538152610442,0.4516983031473723,0.4516983031473724,0.55
logistic_observable,0.3674698795180723,0.45802743819901987,0.45802743819901987,0.55
logistic_observable,0.3714859437751004,0.4643968864844997,0.4643968864844996,0.55
logistic_observable,0.3755020080321285,0.4708071648454188,0.4708071648454188,0.55
logistic_observable,0.3795180722891566,0.47725880012690747,0.4772588001269076,0.55
logistic_observable,0.38353413654618473,0.4837523294374558,0.4837523294374558,0.55
logistic_observable,0.38755020080321284,0.4902883004172413,0.4902883004172412,0.55
logistic_observable,0.39156626506024095,0.49686727151528376,0.49686727151528376,0.55
logistic_observable,0.39558232931726905,0.5034898122757772,0.5034898122757773,0.55
logistic_observable,0.39959839357429716,0.5101565036339665,0.5101565036339665,0.55
logistic_observable,0.4036144578313253,0.5168679382219533,0.5168679382219533,0.55
logistic_observable,0.40763052208835343,0.5236247206848331,0.523624720684833,0.55
logistic_observable,0.41164658634538154,0.5304274680075857,0.5304274680075857,0.55
logistic_observable,0.41566265060240964,0.5372768098531604,0.5372768098531605,0.55
logistic_observable,0.41967871485943775,0.5441733889122208,0.5441733889122208,0.6000000000000001
logistic_observable,0.42369477911646586,0.5511178612650318,0.5511178612650317,0.6000000000000001
logistic_observable,0.42771084337349397,0.5581108967560023,0.5581108967560023,0.6000000000000001
logistic_observable,0.43172690763052207,0.5651531793814153,0.5651531793814154,0.6000000000000001
logistic_observable,0.4357429718875502,0.5722454076909071,0.5722454076909071,0.6000000000000001
logistic_observable,0.4397590361445783,0.5793882952032873,0.5793882952032872,0.6000000000000001
logistic_observable,0.44377510040160645,0.5865825708373145,0.5865825708373144,0.6000000000000001
logistic_observable,0.44779116465863456,0.5938289793580817,0.5938289793580817,0.6000000000000001
logistic_observable,0.45180722891566266,0.6011282818396932,0.6011282818396934,0.6000000000000001
logistic_observable,0.45582329317269077,0.6084812561449521,0.6084812561449521,0.65
logistic_observable,0.4598393574297189,0.6158886974228138,0.6158886974228137,0.65
logistic_observable,0.463855421686747,0.6233514186244034,0.6233514186244034,0.65
logistic_observable,0.4678714859437751,0.6308702510384306,0.6308702510384308,0.65
logistic_observable,0.4718875502008032,0.6384460448468884,0.6384460448468884,0.65
logistic_observable,0.4759036144578313,0.6460796697019595,0.6460796697019594,0.65
logistic_observable,0.4799196787148594,0.6537720153251151,0.6537720153251151,0.65
logistic_observable,0.4839357429718876,0.6615239921294331,0.6615239921294331,0.7000000000000001
logistic_observable,0.4879518072289157,0.6693365318662268,0.6693365318662269,0.7000000000000001
logistic_observable,0.4919678714859438,0.6772105882971328,0.6772105882971328,0.7000000000000001
logistic_observable,0.4959839357429719,0.6851471378928691,0.685147137892869,0.7000000000000001
logistic_observable,0.5,0.6931471805599453,0.6931471805599453,0.7000000000000001
logistic_observable,0.5040160642570282,0.7012117403966758,0.7012117403966758,0.7000000000000001
logistic_observable,0.5080321285140562,0.7093418664799259,0.7093418664799259,0.7000000000000001
